strategy,period_start,period_end,f1,f2,f3,slippage_perc,annual_return,total_return,sharpe_ratio,calmar_ratio,win_rate,max_drawdown,total_trades,won_trades,lost_trades
Original_RBreaker,2024-5-10,2024-12-31,0.8,0.1,0.4,0.0005,137.53,72.61,2.15,6.61,39.29,20.82,28,11,17
Prediction_Enhanced_RBreaker,2024-5-10,2024-12-31,0.8,0.1,0.4,0.0005,143.53,75.35,2.19,8.51,39.29,16.87,28,11,17
