model,base_mean_loss,comp_mean_loss,alpha_hat,p_two_side,p_one_side,n,hac_lags,base_better_raw,status,bonf_p,base_better_bonf,fdr_p,base_better_fdr
tsmixer,12971.630083220678,13278.029445073842,306.39936185316554,0.7666196105509693,0.38330980527548464,440,1,False,ok,1.0,False,0.38330980527548464,False
dlinear,12971.630083220678,14340.314910554027,1368.684827333349,0.49160718226300026,0.24580359113150013,440,1,False,ok,0.9832143645260005,False,0.3277381215086668,False
itransformer,12971.630083220678,19744.98039507403,6773.350311853354,0.052845898385011164,0.026422949192505582,440,1,True,ok,0.10569179677002233,False,0.052845898385011164,False
patchtst,12971.630083220678,22369.390586662852,9397.76050344218,0.004383609377371864,0.002191804688685932,440,1,True,ok,0.008767218754743728,True,0.008767218754743728,True
