model,n_samples,alignment_shift_days,base_loss,comp_loss,diff_mean,GW_stat,p_one(H1:base_better),p_two,lags,direction_by_t,p_fdr,is_significant
tsmixer,440,0,12971.630083220678,13278.029445073842,306.39936185316554,0.369827822097268,0.3557553918306633,0.7115107836613266,5,base_better,0.3557553918306633,False
dlinear,440,0,12971.630083220678,14340.314910554027,1368.684827333349,0.8305574554147742,0.20311183871825833,0.40622367743651666,5,base_better,0.2708157849576778,False
itransformer,440,0,12971.630083220678,19744.98039507403,6773.350311853354,2.4829584608944244,0.006514814032234645,0.01302962806446929,5,base_better,0.02605925612893858,True
patchtst,440,0,12971.630083220678,22369.390586662852,9397.76050344218,2.1727581838258154,0.014899261037017653,0.029798522074035307,5,base_better,0.029798522074035307,True
