f1,f2,f3,annual_return,total_return,win_rate,max_drawdown
0.2,0.1,0.3,-999.0,-922.01,64.36,260.02
0.4,0.3,0.1,-999.0,-371.95,63.44,155.62
0.4,0.1,0.3,-999.0,-932.01,61.33,276.55
0.7,0.4,0.1,-999.0,-379.97,69.84,145.92
0.4,0.3,0.3,-999.0,-371.95,63.44,155.62
0.4,0.3,0.2,-999.0,-371.95,63.44,155.62
0.4,0.3,0.4,-999.0,-371.95,63.44,155.62
0.7,0.4,0.4,-999.0,-357.02,69.35,140.96
0.7,0.4,0.3,-999.0,-379.97,69.84,145.92
0.7,0.4,0.2,-999.0,-379.97,69.84,145.92
0.5,0.4,0.2,-999.0,-937.74,66.67,269.6
0.2,0.1,0.1,-999.0,-922.01,64.36,260.02
0.5,0.4,0.1,-999.0,-937.74,66.67,269.6
0.5,0.4,0.3,-999.0,-937.74,66.67,269.6
0.2,0.1,0.2,-999.0,-922.01,64.36,260.02
