f1,f2,f3,annual_return,total_return,win_rate,max_drawdown
0.2,0.2,0.3,-61.1,-83.99,53.57,102.8
0.2,0.2,0.1,-61.86,-84.59,53.57,103.4
0.7,0.1,0.1,-65.44,-87.28,29.63,93.21
0.4,0.2,0.3,-65.62,-87.41,57.32,97.1
0.4,0.2,0.4,-66.09,-87.74,57.32,97.41
0.2,0.1,0.4,-66.95,-88.34,55.37,99.38
0.4,0.2,0.1,-69.3,-89.89,55.81,99.48
0.4,0.2,0.2,-69.3,-89.89,55.81,99.48
0.3,0.4,0.3,-69.41,-89.96,56.72,100.16
0.3,0.4,0.2,-69.76,-90.18,55.88,100.36
0.3,0.4,0.1,-70.38,-90.57,55.88,100.71
0.2,0.1,0.2,-70.51,-90.65,54.47,101.69
0.2,0.1,0.3,-70.51,-90.65,54.47,101.69
0.3,0.4,0.4,-70.54,-90.67,56.06,100.8
0.2,0.1,0.1,-70.78,-90.81,54.47,101.85
0.3,0.2,0.2,-76.67,-94.06,51.06,107.06
0.3,0.2,0.4,-82.99,-96.78,51.02,108.86
0.3,0.2,0.3,-87.5,-98.23,51.09,105.05
0.3,0.2,0.1,-89.15,-98.66,47.62,107.69
