strategy,period_start,period_end,f1,f2,f3,slippage_perc,annual_return,total_return,sharpe_ratio,calmar_ratio,win_rate,max_drawdown,total_trades
Original_RBreaker,2024-5-10,2024-12-31,0.8,0.3,0.2,0.0005,14.57,8.96,0.79,1.16,53.85,12.6,13
Prediction_Enhanced_RBreaker,2024-5-10,2024-12-31,0.8,0.3,0.2,0.0005,18.1,11.06,0.84,1.12,53.85,16.15,13
