model,base_mean_loss,comp_mean_loss,alpha_hat,hac_p,n,hac_lags,base_better_raw,status,bonf_p,base_better_bonf,fdr_p,base_better_fdr
tsmixer,275.7386790796008,315.85498230208407,40.11630322248325,0.00019264623677337636,443,1,True,ok,0.0007705849470935054,True,0.0002568616490311685,True
dlinear,275.7386790796008,322.237198908597,46.49851982899624,0.00026008467533025553,443,1,True,ok,0.0010403387013210221,True,0.00026008467533025553,True
itransformer,275.7386790796008,376.8659252659321,101.12724618633135,3.638490218807032e-08,443,1,True,ok,1.4553960875228127e-07,True,7.276980437614064e-08,True
patchtst,275.7386790796008,444.0579347458484,168.3192556662476,4.1391329046988785e-10,443,1,True,ok,1.6556531618795514e-09,True,1.6556531618795514e-09,True
