strategy,period_start,period_end,f1,f2,f3,slippage_perc,annual_return,total_return,sharpe_ratio,calmar_ratio,win_rate,max_drawdown,total_trades,won_trades,lost_trades
Original_RBreaker,2024-5-10,2024-12-31,0.7,0.2,0.1,0.0005,-18.66,-12.21,-0.17,-0.27,52.5,70.19,40,21,0
Prediction_Enhanced_RBreaker,2024-5-10,2024-12-31,0.7,0.2,0.1,0.0005,17.41,10.66,0.11,0.23,52.5,75.34,40,21,0
