model,n_samples,alignment_shift_days,base_loss,comp_loss,diff_mean,GW_stat,p_one(H1:base_better),p_two,lags,direction_by_t,p_fdr,is_significant
dlinear,443,0,2073.259563201875,2353.813176405522,280.5536132036468,3.5296161200518696,0.0002080815157014495,0.000416163031402899,5,base_better,0.000277442020935266,True
tsmixer,443,0,2073.259563201875,2424.0193720387942,350.7598088369193,3.42831732424523,0.0003036675569065491,0.0006073351138130982,5,base_better,0.0003036675569065491,True
itransformer,443,0,2073.259563201875,2463.804848857826,390.5452856559512,3.5556322362244677,0.00018853561441154707,0.00037707122882309413,5,base_better,0.000277442020935266,True
patchtst,443,0,2073.259563201875,3741.6602356736275,1668.4006724717517,5.578948841328235,1.209881944028142e-08,2.419763888056284e-08,5,base_better,4.839527776112568e-08,True
