Experiment,MAE,RMSE,R2,Trend_Acc(%)
Base,47.25576824177125,72.63535433560362,0.9578648784585023,46.206896551724135
Base + AS1,46.17972136118883,71.35185057454039,0.9593408200762731,46.43678160919541
Base + AS2,47.047447388491996,70.68582034178775,0.9600963394712967,48.04597701149425
DENet,44.802795534521366,69.05211973563709,0.9619195421032641,49.42528735632184
