model,base_mean_loss,comp_mean_loss,alpha_hat,gw_p,two_sided_p,hac_lags,n,base_better_raw,status,bonf_p,base_better_bonf,fdr_p,base_better_fdr
tsmixer,12971.630083220678,13278.029445073842,306.39936185316554,0.3557553918306633,0.7115107836613266,5,440,False,ok,1.0,False,0.3557553918306633,False
dlinear,12971.630083220678,14340.314910554027,1368.684827333349,0.20311183871825833,0.40622367743651666,5,440,False,ok,0.8124473548730333,False,0.2708157849576778,False
itransformer,12971.630083220678,19744.98039507403,6773.350311853354,0.006514814032234645,0.01302962806446929,5,440,True,ok,0.02605925612893858,True,0.02605925612893858,True
bilstm,12971.630083220678,25279.324030963387,12307.693947742711,0.021583070653497554,0.04316614130699511,5,440,True,ok,0.08633228261399022,False,0.04316614130699511,True
