model,base_mean_loss,comp_mean_loss,alpha_hat,hac_p,n,hac_lags,base_better_raw,status,bonf_p,base_better_bonf,fdr_p,base_better_fdr
tsmixer,12971.630083220678,13278.029445073842,306.39936185316554,0.7666196105509693,440,1,False,ok,1.0,False,0.7666196105509693,False
dlinear,12971.630083220678,14340.314910554027,1368.684827333349,0.49160718226300026,440,1,False,ok,1.0,False,0.6554762430173336,False
itransformer,12971.630083220678,19744.98039507403,6773.350311853354,0.052845898385011164,440,1,False,ok,0.21138359354004466,False,0.10569179677002233,False
patchtst,12971.630083220678,22369.390586662852,9397.76050344218,0.004383609377371864,440,1,True,ok,0.017534437509487456,True,0.017534437509487456,True
