model,n_samples,alignment_shift_days,base_loss,comp_loss,diff_mean,GW_stat,p_one(H1:base_better),p_two,lags,direction_by_t,p_fdr,is_significant
tsmixer,435,0,4897.759804486615,5469.947002809454,572.1871983228386,2.0418013362921603,0.02058562083113434,0.04117124166226868,5,base_better,0.02058562083113434,True
dlinear,435,0,4897.759804486615,6561.244808130697,1663.4850036440803,3.8574165495586037,5.729589164445132e-05,0.00011459178328890264,5,base_better,7.639452219260176e-05,True
patchtst,435,0,4897.759804486615,6931.74583549624,2033.9860310096244,3.9891103631033586,3.316078085173623e-05,6.632156170347246e-05,5,base_better,6.632156170347246e-05,True
itransformer,435,0,4897.759804486615,9115.170609918054,4217.4108054314365,4.318878569881685,7.841201691593065e-06,1.568240338318613e-05,5,base_better,3.136480676637226e-05,True
