model,base_mean_loss,comp_mean_loss,alpha_hat,hac_p,n,hac_lags,base_better_raw,status,bonf_p,base_better_bonf,fdr_p,base_better_fdr
tsmixer,4897.759804486615,5469.947002809454,572.1871983228386,0.04322741250254955,435,1,True,ok,0.1729096500101982,False,0.04322741250254955,True
dlinear,4897.759804486615,6561.244808130697,1663.4850036440803,0.00018663684545534902,435,1,True,ok,0.0007465473818213961,True,0.0002488491272737987,True
patchtst,4897.759804486615,6931.74583549624,2033.9860310096244,5.095988725972666e-05,435,1,True,ok,0.00020383954903890664,True,0.00010191977451945332,True
itransformer,4897.759804486615,9115.170609918054,4217.4108054314365,1.1343842640498733e-08,435,1,True,ok,4.537537056199493e-08,True,4.537537056199493e-08,True
