model,n_samples,alignment_shift_days,base_loss,comp_loss,diff_mean,GW_stat,p_one(H1:base_better),p_two,lags,direction_by_t,p_fdr,is_significant
tsmixer,443,0,275.7386790796008,315.85498230208407,40.11630322248325,3.509243209843137,0.0002246918849490727,0.0004493837698981454,5,base_better,0.00023638188536444482,True
dlinear,443,0,275.7386790796008,322.237198908597,46.49851982899624,3.4957317179165845,0.00023638188536444482,0.00047276377072888963,5,base_better,0.00023638188536444482,True
itransformer,443,0,275.7386790796008,376.8659252659321,101.12724618633135,5.391091688882348,3.5015464470911886e-08,7.003092894182377e-08,5,base_better,7.003092894182377e-08,True
patchtst,443,0,275.7386790796008,444.0579347458484,168.3192556662476,5.923392850539483,1.5768312092621469e-09,3.1536624185242937e-09,5,base_better,6.3073248370485875e-09,True
