model,base_mean_loss,comp_mean_loss,alpha_hat,hac_p,n,hac_lags,base_better_raw,status,bonf_p,base_better_bonf,fdr_p,base_better_fdr
dlinear,2073.259563201875,2353.813176405522,280.5536132036468,0.00032293560155331156,443,1,True,ok,0.0012917424062132462,True,0.0004305808020710821,True
tsmixer,2073.259563201875,2424.0193720387942,350.7598088369193,0.0005148322449826424,443,1,True,ok,0.0020593289799305694,True,0.0005148322449826424,True
itransformer,2073.259563201875,2463.804848857826,390.5452856559512,8.695258134843771e-05,443,1,True,ok,0.00034781032539375084,True,0.00017390516269687542,True
patchtst,2073.259563201875,3741.6602356736275,1668.4006724717517,2.5703068613544564e-10,443,1,True,ok,1.0281227445417826e-09,True,1.0281227445417826e-09,True
