Experiment,MAE,RMSE,R2,Trend_Acc(%)
Base (DLinear Only),12.48636149303326,16.75950355219379,0.9566620764496158,51.91873589164786
Base + Autoformer,12.463129397805508,16.62256866796223,0.9573673753239994,51.46726862302483
Base + N-HiTS,12.445263105993131,16.769957469433187,0.9566079946133127,50.338600451467265
Full Hybrid Model,12.406475952002493,16.620216493883888,0.9573794399166204,51.0158013544018
