Experiment,MAE,RMSE,R2,Trend_Acc(%)
Base,29.547551220540257,38.59425156461668,0.9751764061623965,53.95033860045147
Base + AS1,28.731529076885536,38.03367912178965,0.9758922829033039,50.79006772009029
Base + AS2,28.613563699107516,37.965053005839756,0.9759792019945124,53.04740406320542
DENet,28.54513107139367,37.93339248998298,0.9760192490212567,54.627539503386004
