Experiment,MAE,RMSE,R2,Trend_Acc(%)
Base (DLinear Only),13.956694481461403,18.53652723965102,0.9469845384352097,51.0158013544018
Base + Autoformer,13.36753208814385,17.706322392659434,0.9516270543499737,51.69300225733634
Base + N-HiTS (Opt),12.785261953683047,17.147143142234547,0.9546341193384382,52.82167042889391
Full Hybrid Model (Opt),12.92958936412112,17.34267676562748,0.953593580789444,51.0158013544018
