Experiment,MAE,RMSE,R2,Trend_Acc(%)
Base,12.48636149303326,16.75950355219379,0.9566620764496158,51.91873589164786
Base + AS1,12.46315264325708,16.623434141049784,0.95725713182584,51.24153498871332
Base + AS2,12.444651400754841,16.770284576048238,0.9571893059540178,50.338600451467265
DENet,12.407129664759286,16.619555343626255,0.9573048029922244,51.69300225733634
