strategy,period_start,period_end,f1,f2,f3,slippage_perc,annual_return,total_return,sharpe_ratio,calmar_ratio,win_rate,max_drawdown,total_trades
Original_RBreaker,2024-5-10,2024-12-31,0.8,0.3,0.1,0.0005,9.18,5.7,1.01,1.83,52.94,5.02,17
Prediction_Enhanced_RBreaker,2024-5-10,2024-12-31,0.8,0.3,0.1,0.0005,10.88,6.73,1.15,2.17,52.94,5.01,17
