model,base_mean_loss,comp_mean_loss,alpha_hat,hac_p,n,hac_lags,base_better_raw,status,bonf_p,base_better_bonf,fdr_p,base_better_fdr
dlinear,1444.3435112937232,1531.3571663747152,87.01365508099221,0.07206629949609362,443,1,False,ok,0.2882651979843745,False,0.07206629949609362,False
tsmixer,1444.3435112937232,1664.687947223027,220.34443592930364,0.0020856813792714183,443,1,True,ok,0.008342725517085673,True,0.0027809085056952243,True
itransformer,1444.3435112937232,1680.4589694925378,236.11545819881437,0.0007544058565239901,443,1,True,ok,0.0030176234260959603,True,0.0015088117130479801,True
patchtst,1444.3435112937232,2226.837892066169,782.494380772446,2.7726404718436883e-09,443,1,True,ok,1.1090561887374753e-08,True,1.1090561887374753e-08,True
