strategy,period_start,period_end,f1,f2,f3,slippage_perc,annual_return,total_return,sharpe_ratio,win_rate,max_drawdown,total_trades
Original_RBreaker,2024-5-10,2024-12-31,0.6,0.3,0.1,0.0005,1.41,0.88,0.02,69.57,8.39,23
Prediction_Enhanced_RBreaker,2024-5-10,2024-12-31,0.6,0.3,0.1,0.0005,7.96,4.95,0.61,69.57,8.77,23
