model,n_samples,alignment_shift_days,base_loss,comp_loss,diff_mean,GW_stat,p_one(H1:base_better),p_two,lags,direction_by_t,p_fdr,is_significant
dlinear,443,0,1444.3435112937232,1531.3571663747152,87.01365508099221,1.7226264761251906,0.042478046969809856,0.08495609393961971,5,base_better,0.042478046969809856,True
tsmixer,443,0,1444.3435112937232,1664.687947223027,220.34443592930364,2.783094525746464,0.002692155833371141,0.005384311666742282,5,base_better,0.0035895411111615213,True
itransformer,443,0,1444.3435112937232,1680.4589694925378,236.11545819881437,3.294806931685696,0.0004924466089426112,0.0009848932178852224,5,base_better,0.0009848932178852224,True
patchtst,443,0,1444.3435112937232,2226.837892066169,782.494380772446,5.592671338454626,1.1180115712449603e-08,2.2360231424899206e-08,5,base_better,4.472046284979841e-08,True
